SECRETARIA,CÓDIGO MUNICIPIO, NOMBRE MUNICIPIO, CÓDIGO ESTABLECIMIENTO, NOMBRE ESTABLECIMIENTO, CÓDIGO SEDE, NOMBRE SEDE, ZONA, DIRECCIÓN, TELÉFONO, ESTADO SEDE, NIVELES, MODELOS, GRADOS,SECTOR
BOYACA,15572,PUERTO BOYACÁ,215572000393,I.E. PUERTO PINZON,215572000636,ESC DOS QUEBRADAS,RURAL,VDA DOS QUEBRADAS,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","0,1,2,3,4,5,21",OFICIAL
BOYACA,15572,PUERTO BOYACÁ,215572000334,I.E. EL PRADO,215572000113,ESC. PALAGUA ALIANZA,RURAL,VDA PALAGUA,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA","ESCUELA NUEVA,A CRECER","-1,0,1,2,3,4,5,21",OFICIAL
BOYACA,15572,PUERTO BOYACÁ,215572000334,I.E. EL PRADO,215572000211,ESC. AGUALINDA,RURAL,LOCALIDAD AGUALINDA,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15572,PUERTO BOYACÁ,215572000181,I.E. TECNICA JOSE JOAQUIN ORTIZ,215572001047,ESC KILOMETRO ONCE,RURAL,KILOMETRO ONCE,968551154,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","0,1,2,3,4,5,22,23,24",OFICIAL
BOYACA,15572,PUERTO BOYACÁ,215572000181,I.E. TECNICA JOSE JOAQUIN ORTIZ,215572000181,I.E. TECNICA JOSE JOAQUIN ORTIZ - SEDE PRINCIPAL,RURAL,CAS KM 2 Y 1/2,098 7384666,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26",OFICIAL
BOYACA,15572,PUERTO BOYACÁ,115572000321,I.E. JOSE ANTONIO GALAN,115572000321,I.E. JOSE ANTONIO GALAN - SEDE PRINCIPAL,URBANA,KR 5 CON CL 26 EQ,3102348403,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA SECUNDARIA,MEDIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26",OFICIAL
BOYACA,15572,PUERTO BOYACÁ,115572000062,I.E. ANTONIA SANTOS,115572000054,SIMON BOLIVAR,URBANA,CLLE 3A N 3-17 PUEBLO NUEVO,7383677,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","ESPERE,EDUCACIÓN TRADICIONAL,SER HUMANO","0,1,2,3,4,5,21,22,23",OFICIAL
BOYACA,15580,QUÍPAMA,215580000041,I.E. TECNICA NUESTRA SEÑORA DE LA PAZ,215580000076,CENT EDUC BALCON,RURAL,VDA BALCON,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15580,QUÍPAMA,215580000017,I.E. LA FLORESTA,215580000181,LA YE,RURAL,SECT LA YE INSPECCION LA YE,,CIERRE TEMPORAL,,,,OFICIAL
BOYACA,15599,RAMIRIQUÍ,115599000013,I.E. TECNICA JOSE IGNACIO DE MARQUEZ,215599000166,ESC EL COMUN,RURAL,VDA EL COMUN,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
